role1	role2	genomes
Periplasmic chaperone of outer membrane proteins Skp	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.191)	1121447.3,583355.3,727.1550,445932.6,349741.6,518.42,36868.4,190304.8,379066.3,59196.3,203907.6,1548207.7,376620.10,1715285.3
Peptide chain release factor N(5)-glutamine methyltransferase (EC 2.1.1.297)	Uracil phosphoribosyltransferase (EC 2.4.2.9)	1408417.3,1639.4260,521095.6,1491.958,1423720.4,1002870.3,295596.4,655811.4,679936.5,266117.10
Gliding motility-associated ABC transporter ATP-binding protein GldA	Gliding motility-associated ABC transporter permease protein GldF	2605989.3,583355.3,1882918.15,926569.3,980251.5,1521403.3,2023178.18,2200854.3,41978.26,349741.6,1970770.3,157176.8,159.151,394503.7,489703.3,456827.3,1946798.3,1548207.7,481448.7
GTP cyclohydrolase 1 type 2 homolog YbgI	tRNA (adenine(22)-N(1))-methyltransferase (EC 2.1.1.217)	1639.4260,608534.3,938289.3,1491.958,1423720.4,28227.8,796939.3,1260.19,1121911.3,655811.4,394503.7
ABC transporter, permease protein 1 (cluster 4, leucine/isoleucine/valine/benzoate)	ABC transporter, permease protein 2 (cluster 4, leucine/isoleucine/valine/benzoate)	1121447.3,444157.8,1737569.3,1521403.3,1946522.3,926550.5,479434.6,1123388.3,309798.4,518.42
ssuRNA	tRNA-Ile-GAT	1121447.3,583355.3,926569.3,716544.4,445932.6,1332188.3,349741.6,572547.3,479434.6,673862.3,309798.4,525904.6,394503.7,190304.8,456827.3,59196.3,795359.3,1206109.5,1306947.3,481448.7,926550.5,37692.4,679936.5
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)	LSU ribosomal protein L25p	1121447.3,813.178,2023178.18,1408281.4,157176.8,518.42,1945871.3,1437881.3,489703.3,1884905.18,2003555.3,795359.3,1560006.3,166.4,266117.10
ATP synthase F0 sector subunit c	ATP synthase gamma chain (EC 3.6.3.14)	557993.3,247481.57,2183990.3,980251.5,1521403.3,2200854.3,1970770.3,309798.4,525904.6,159.151,36868.4,1294039.3,1432327.4,2099.43,521095.6,59196.3,1206109.5,525909.11,754252.34,1121911.3,1241833.3,266117.10,1639.4260,2605989.3,608534.3,28227.8,445932.6,1002870.3,479434.6,479430.3,518.42,394503.7,1391995.3,1884905.18,2003555.3,583355.3,1491.958,716544.4,2023178.18,349741.6,1408281.4,1947784.3,489703.3,190304.8,1749045.3,203907.6,1946251.3,481448.7,2702.133,1318617.4,1947072.3,727.1550,1423720.4,1437881.3,126741.4,166793.3,1548207.7,1946522.3,926550.5,243273.25,2100.35,295596.4,679936.5
tRNA-Met-CAT	tRNA-Tyr-GTA	608534.3,1946283.3,1946294.3,655811.4,1946269.3,1294039.3,938289.3,521095.6,796939.3,2003555.3,59620.1701,1946251.3,1946798.3,525909.11,1946522.3,679936.5,266117.10
CRISPR-associated protein Cas1	CRISPR-associated RecB family exonuclease Cas4	406327.12,980251.5,1521403.3,374847.13,1408281.4,263820.9,525904.6,655811.4,2067454.3,1805053.3,190304.8,796939.3,795359.3,1121911.3,1947072.3,339860.19,444157.8,608534.3,926569.3,1260.19,1919250.3,394503.7,126741.4,456827.3,349307.15,926550.5,679936.5
COG2740: Predicted nucleic-acid-binding protein implicated in transcription termination	tRNA pseudouridine(55) synthase (EC 5.4.99.25)	1639.4260,608534.3,2183990.3,1491.958,1423720.4,926569.3,2069310.3,572547.3,1260.19,1946283.3,479434.6,479430.3,525904.6,655811.4,938289.3,796939.3,59620.1701,1946251.3,1946798.3,376620.10,1121911.3,679936.5
Deoxyribose-phosphate aldolase (EC 4.1.2.4)	Purine nucleoside phosphorylase (EC 2.4.2.1)	2490941.3,1260.19,1408467.3,479430.3,1408417.3,1947784.3,938289.3,1884905.18,796939.3,1946522.3,1318617.4,1121911.3,243273.25,2100.35
Fumarate hydratase class I, alpha region (EC 4.2.1.2)	Fumarate hydratase class I, beta region (EC 4.2.1.2)	1121447.3,1491.958,572547.3,1970770.3,2597224.3,374847.13,1408281.4,309798.4,159.151,1609969.5,1946251.3,272844.11,1121911.3,1947072.3,266117.10,926569.3,445932.6,1002870.3,518.42,394503.7,415426.13,126741.4,456827.3,1946798.3,349307.15,1577791.3
Serine/threonine protein kinase PrkC, regulator of stationary phase	tRNA (adenine(37)-C(2))-methyltransferase (EC 2.1.1.192)	608534.3,938289.3,1491.958,1262806.3,796939.3,1946251.3,1946798.3,1260.19,1121911.3,655811.4,679936.5,394503.7
Threonyl-tRNA synthetase (EC 6.1.1.3)	Translation initiation factor 3	1121447.3,557993.3,1882918.15,1491.958,1737569.3,980251.5,2023178.18,349741.6,572547.3,1946283.3,210.5028,1408281.4,157176.8,159.151,2067454.3,36868.4,1704307.4,1609969.5,1947784.3,1946934.3,59196.3,1749045.3,203907.6,795359.3,428411.4,137778.5,481448.7,2601575.3,1121911.3,1241833.3,266117.10,1423720.4,1401685.3,1002870.3,518.42,1946269.3,2601646.3,1437881.3,163164.29,1719125.3,166793.3,926550.5,376620.10,1715285.3,679936.5
LSU ribosomal protein L24p (L26e)	SSU ribosomal protein S14p (S29e), zinc-dependent	1121447.3,1882918.15,1737569.3,572547.3,1970770.3,157176.8,309798.4,525904.6,159.151,1432327.4,2099.43,521095.6,1805053.3,795359.3,525909.11,1306947.3,137778.5,754252.34,1121911.3,1961371.3,266117.10,1639.4260,608534.3,1262806.3,28227.8,926569.3,2069310.3,41978.26,445932.6,1002870.3,1260.19,479434.6,479430.3,1123388.3,394503.7,454171.5,1391995.3,1884905.18,2003555.3,1560006.3,1946798.3,1491.958,2023178.18,1946283.3,2597224.3,673862.3,1408281.4,655811.4,796939.3,1946251.3,481448.7,2702.133,1318617.4,1947072.3,1423720.4,1408467.3,1919250.3,1946294.3,1945871.3,1946269.3,938289.3,126741.4,166793.3,456827.3,59620.1701,1946522.3,926550.5,243273.25,2100.35,295596.4
Protein translocase subunit SecD	Single-stranded-DNA-specific exonuclease RecJ	1639.4260,813.178,583355.3,716544.4,2200854.3,572547.3,1946283.3,1946294.3,2597224.3,166793.3,1946251.3,1548207.7,679936.5
ABC transporter, permease protein 1 (cluster 5, nickel/peptides/opines)	ABC transporter, permease protein 2 (cluster 5, nickel/peptides/opines)	2490941.3,2183990.3,1737569.3,2200854.3,374847.13,263820.9,309798.4,525904.6,1408417.3,521095.6,1946251.3,481448.7,272844.11,754252.34,1947072.3,266117.10,64091.14,2069310.3,1919250.3,479434.6,479430.3,518.42,394503.7,126741.4,1391995.3,2003555.3,397948.10,926550.5,376620.10
Allophanate hydrolase 2 subunit 1 (EC 3.5.1.54)	Lactam utilization protein LamB	583355.3,608534.3,727.1550,926569.3,1737569.3,572547.3,479434.6,309798.4,518.42,2067454.3,190304.8,1749045.3,137778.5,272844.11,166.4,1121911.3,679936.5
Methionine aminopeptidase (EC 3.4.11.18)	SSU ribosomal protein S14p (S29e)	1121447.3,2200854.3,572547.3,1970770.3,157176.8,309798.4,525904.6,1408417.3,1432327.4,2099.43,521095.6,1805053.3,795359.3,525909.11,1306947.3,137778.5,1121911.3,266117.10,608534.3,28227.8,926569.3,2069310.3,41978.26,1002870.3,479434.6,1123388.3,394503.7,454171.5,1884905.18,2003555.3,1946798.3,37692.4,295320.3,583355.3,1491.958,1946283.3,2597224.3,673862.3,1408281.4,2067454.3,379066.3,796939.3,1749045.3,1946251.3,1947072.3,1408467.3,1919250.3,1946294.3,1946269.3,126741.4,166793.3,456827.3,1548207.7,1946522.3,243273.25,2100.35
SSU ribosomal protein S4p (S9e), zinc-dependent	tRNA pseudouridine(38-40) synthase (EC 5.4.99.12)	1491.958,926569.3,572547.3,1002870.3,479434.6,479430.3,309798.4,1805053.3,1884905.18,2003555.3,525909.11,1946522.3,926550.5,1121911.3,679936.5
Potassium-transporting ATPase C chain (EC 3.6.3.12) (TC 3.A.3.7.1)	Potassium-transporting ATPase A chain (EC 3.6.3.12) (TC 3.A.3.7.1)	2490941.3,2183990.3,1491.958,1521403.3,2023178.18,349741.6,2597224.3,263820.9,525904.6,2067454.3,489703.3,379066.3,525909.11,481448.7,1639.4260,64091.14,1260.19,479430.3,518.42,454171.5,1437881.3,938289.3,166793.3,1560006.3,1946522.3,679936.5
ABC transporter, substrate-binding protein (cluster 5, nickel/peptides/opines)	Oligopeptide ABC transporter, ATP-binding protein OppD (TC 3.A.1.5.1)	1121447.3,247481.57,583355.3,2183990.3,2200854.3,525904.6,521095.6,1805053.3,379066.3,2702.133,754252.34,266117.10,1639.4260,608534.3,926569.3,2069310.3,1002870.3,1919250.3,479434.6,479430.3,1945871.3,454171.5,1391995.3,2003555.3,926550.5,166.4
Phosphate ABC transporter, ATP-binding protein PstB (TC 3.A.1.7.1)	Phosphate regulon sensor protein PhoR (SphS) (EC 2.7.13.3)	1639.4260,1491.958,727.1550,1423720.4,572547.3,1260.19,479434.6,309798.4,655811.4,394503.7,1408417.3,1647103.3,938289.3,126741.4,1560006.3,1946798.3,137778.5,376620.10,1121911.3,679936.5
Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)	programmed frameshift-containing	557993.3,727.1550,445932.6,2597224.3,157176.8,518.42,36868.4,1971488.3,1437881.3,489703.3,1719125.3,379066.3,59196.3,203907.6,428411.4,1972134.3,1715285.3,1241833.3
Adenylate kinase (EC 2.7.4.3)	SSU ribosomal protein S4p (S9e), zinc-independent	2605989.3,608534.3,1737569.3,2023178.18,41978.26,445932.6,1946283.3,1919250.3,655811.4,454171.5,938289.3,521095.6,754252.34,1961371.3,266117.10
Glutamate-1-semialdehyde 2,1-aminomutase (EC 5.4.3.8)	Uroporphyrinogen-III synthase (EC 4.2.1.75)	1639.4260,64091.14,2023178.18,479434.6,263820.9,394503.7,415426.13,349307.15,525909.11,926550.5,1435377.6,1121911.3,266117.10
Methionine aminopeptidase (EC 3.4.11.18)	SSU ribosomal protein S13p (S18e)	1121447.3,2183990.3,2200854.3,572547.3,1970770.3,210.5028,2030824.4,157176.8,309798.4,525904.6,1408417.3,1704307.4,1609969.5,2099.43,521095.6,1805053.3,795359.3,525909.11,1306947.3,754252.34,1121911.3,266117.10,608534.3,28227.8,926569.3,2069310.3,41978.26,445932.6,1002870.3,479434.6,479430.3,1123388.3,394503.7,454171.5,1884905.18,2003555.3,1560006.3,1946798.3,37692.4,295320.3,583355.3,1491.958,1946283.3,2597224.3,673862.3,1408281.4,2067454.3,796939.3,1749045.3,481448.7,1947072.3,1408467.3,1919250.3,1946294.3,1946269.3,126741.4,166793.3,456827.3,59620.1701,1548207.7,1946522.3,926550.5,243273.25,2100.35,295596.4,679936.5
Phosphatidate cytidylyltransferase (EC 2.7.7.41)	Uridylate kinase (EC 2.7.4.22)	2490941.3,2183990.3,1737569.3,309798.4,525904.6,1294039.3,1408417.3,2099.43,521095.6,59196.3,795359.3,2024841.10,525909.11,754252.34,1121911.3,266117.10,1639.4260,608534.3,28227.8,2069310.3,41978.26,1002870.3,479434.6,479430.3,1123388.3,518.42,394503.7,163164.29,1391995.3,1884905.18,2003555.3,1946798.3,37692.4,376620.10,295320.3,1491.958,2023178.18,2597224.3,1408281.4,1647103.3,489703.3,1946934.3,379066.3,203907.6,1946251.3,428411.4,2702.133,1318617.4,1423720.4,1919250.3,1945871.3,1437881.3,938289.3,1719125.3,166793.3,1946522.3,926550.5,1715285.3,243273.25,2100.35,295596.4,679936.5
LSU ribosomal protein L29p (L35e)	SSU ribosomal protein S14p (S29e), zinc-dependent	1121447.3,1737569.3,572547.3,1970770.3,157176.8,309798.4,525904.6,159.151,2099.43,521095.6,1805053.3,795359.3,525909.11,137778.5,754252.34,1121911.3,266117.10,1639.4260,608534.3,1262806.3,28227.8,926569.3,2069310.3,41978.26,445932.6,1002870.3,1260.19,479434.6,479430.3,1123388.3,394503.7,454171.5,1884905.18,2003555.3,1560006.3,1946798.3,1491.958,2023178.18,1946283.3,1408281.4,655811.4,796939.3,1946251.3,481448.7,2702.133,1947072.3,1423720.4,1919250.3,1946294.3,1945871.3,938289.3,126741.4,166793.3,456827.3,59620.1701,926550.5,243273.25,2100.35,295596.4
Cobalt-precorrin-2 C(20)-methyltransferase (EC 2.1.1.151)	Cobalt-precorrin-4 C(11)-methyltransferase (EC 2.1.1.271)	1639.4260,444157.8,64091.14,1491.958,1737569.3,436308.17,479430.3,263820.9,394503.7,190304.8,166793.3,349307.15,1577791.3,1435377.6,754252.34,1121911.3,679936.5,266117.10
Acyl-CoA dehydrogenase	Oxidoreductase, short-chain dehydrogenase/reductase family	1647103.3,489703.3,2183990.3,1391995.3,166793.3,1737569.3,479434.6,479430.3,1123388.3,518.42,679936.5,266117.10
Pyruvate formate-lyase (EC 2.3.1.54)	Pyruvate formate-lyase activating enzyme (EC 1.97.1.4)	1121447.3,583355.3,1491.958,349741.6,1946283.3,374847.13,309798.4,1408417.3,521095.6,190304.8,796939.3,2702.133,1121911.3,1947072.3,1639.4260,608534.3,727.1550,2069310.3,41978.26,1260.19,1945871.3,1946269.3,394503.7,59620.1701,1946798.3,166.4
Guanylate kinase (EC 2.7.4.8)	S-adenosylmethionine synthetase (EC 2.5.1.6)	1294039.3,2183990.3,1884905.18,2003555.3,2069310.3,525909.11,2702.133,479430.3,754252.34,266117.10
Aspartokinase (EC 2.7.2.4)	Homoserine kinase (EC 2.7.1.39)	557993.3,1491.958,727.1550,572547.3,1408281.4,1437881.3,938289.3,126741.4,796939.3,1749045.3,203907.6,272844.11,1241833.3
Cell division protein FtsQ	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8)	1121447.3,583355.3,1737569.3,349741.6,572547.3,1408281.4,525904.6,1294039.3,1647103.3,1947784.3,521095.6,190304.8,379066.3,1749045.3,203907.6,795359.3,525909.11,481448.7,2702.133,754252.34,266117.10,727.1550,926569.3,1919250.3,479434.6,518.42,454171.5,1437881.3,456827.3,376620.10
Dipeptide ABC transporter, ATP-binding protein DppD (TC 3.A.1.5.2)	Dipeptide ABC transporter, permease protein DppB (TC 3.A.1.5.2)	64091.14,2183990.3,727.1550,926569.3,2069310.3,210.5028,1294039.3,415426.13,190304.8,525909.11,272844.11,926550.5,2702.133,1435377.6
16S rRNA (uracil(1498)-N(3))-methyltransferase (EC 2.1.1.193)	Ribosomal protein L11 methyltransferase	1639.4260,1882918.15,1491.958,1423720.4,1737569.3,1260.19,479434.6,1123388.3,309798.4,394503.7,379066.3,796939.3,1946251.3,926550.5,1121911.3,679936.5
ABC transporter, ATP-binding protein (cluster 15, trp?)	ABC transporter, substrate-binding protein (cluster 15, trp?)	1121447.3,608534.3,1882918.15,1491.958,1423720.4,41978.26,159.151,1408417.3,190304.8,796939.3,1946251.3,166.4,754252.34,1121911.3
DNA recombination and repair protein RecO	Metal-dependent hydrolase YbeY, involved in rRNA and/or ribosome maturation and assembly	1639.4260,1262806.3,1423720.4,28227.8,2023178.18,572547.3,1260.19,309798.4,655811.4,394503.7,1294039.3,2099.43,521095.6,2003555.3,525909.11,481448.7,37692.4,1121911.3,295596.4,679936.5,266117.10
Methionine aminopeptidase (EC 3.4.11.18)	SSU ribosomal protein S11p (S14e)	1121447.3,2183990.3,2200854.3,572547.3,1970770.3,210.5028,2030824.4,157176.8,309798.4,525904.6,1408417.3,1704307.4,1609969.5,2099.43,521095.6,1805053.3,795359.3,525909.11,1306947.3,754252.34,1121911.3,1961371.3,266117.10,608534.3,28227.8,926569.3,2069310.3,41978.26,445932.6,1002870.3,479434.6,479430.3,1123388.3,394503.7,454171.5,1884905.18,2003555.3,1560006.3,1946798.3,37692.4,295320.3,583355.3,1491.958,1946283.3,2597224.3,673862.3,1408281.4,2067454.3,796939.3,1749045.3,481448.7,1947072.3,1408467.3,1919250.3,1946294.3,1946269.3,126741.4,166793.3,456827.3,59620.1701,1548207.7,1946522.3,926550.5,243273.25,2100.35,295596.4,679936.5
Adenylosuccinate lyase (EC 4.3.2.2)	Adenylosuccinate synthetase (EC 6.3.4.4)	444157.8,608534.3,28227.8,445932.6,1002870.3,1408467.3,1294039.3,126741.4,1884905.18,2003555.3,525909.11,1946522.3,166.4,295596.4,266117.10
Septum site-determining protein MinD	Septum site-determining protein MinC	1639.4260,557993.3,1491.958,926569.3,1521403.3,572547.3,2162266.3,479434.6,309798.4,518.42,36868.4,394503.7,1437881.3,489703.3,190304.8,796939.3,203907.6,926550.5,376620.10,1121911.3,1241833.3,679936.5
Cobalt-precorrin-3 C(17)-methyltransferase (EC 2.1.1.272)	Cobalt-precorrin-5B (C1)-methyltransferase (EC 2.1.1.195)	1639.4260,444157.8,1737569.3,349307.15,1435377.6,479430.3,1121911.3,1947072.3,679936.5,266117.10,394503.7
Diadenylate cyclase spyDAC	Dihydropteroate synthase (EC 2.5.1.15)	1121447.3,1882918.15,716544.4,1970770.3,2597224.3,1408281.4,1945871.3,1704307.4,1609969.5,1947784.3,456827.3,1749045.3,795359.3,481448.7,166.4
[LysW]-aminoadipate semialdehyde transaminase	[LysW]-lysine hydrolase	926569.3,436308.17,1919250.3,272844.11,374847.13,1435377.6,479434.6,1123388.3,263820.9,525904.6
Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)	Phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit (EC 6.3.5.3)	1639.4260,444157.8,608534.3,1423720.4,2200854.3,445932.6,572547.3,1260.19,309798.4,938289.3,126741.4,190304.8,796939.3,1946251.3,1121911.3,1947072.3,679936.5,266117.10
Cell division protein FtsZ	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8)	1121447.3,2490941.3,557993.3,1882918.15,2183990.3,1737569.3,572547.3,1970770.3,157176.8,525904.6,36868.4,1704307.4,521095.6,1805053.3,795359.3,525909.11,754252.34,266117.10,926569.3,2069310.3,1002870.3,479434.6,479430.3,1123388.3,518.42,454171.5,1884905.18,2003555.3,1972134.3,376620.10,583355.3,1408281.4,1647103.3,1947784.3,489703.3,190304.8,1749045.3,203907.6,428411.4,481448.7,727.1550,1919250.3,1945871.3,1437881.3,166793.3,456827.3,1946522.3,926550.5,1715285.3
Acyl-CoA:1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	LSU rRNA pseudouridine(2605) synthase (EC 5.4.99.22)	521095.6,525909.11,572547.3,1260.19,1946522.3,479434.6,525904.6,655811.4,679936.5,266117.10
Homoserine dehydrogenase (EC 1.1.1.3)	Threonine synthase (EC 4.2.3.1)	557993.3,583355.3,2183990.3,1491.958,2200854.3,2597224.3,157176.8,1294039.3,1704307.4,1609969.5,489703.3,379066.3,796939.3,1749045.3,203907.6,1206109.5,525909.11,481448.7,1241833.3,1639.4260,444157.8,727.1550,2069310.3,445932.6,1002870.3,1919250.3,479430.3,1123388.3,518.42,394503.7,1437881.3,938289.3,126741.4,1391995.3,166793.3,1884905.18,2003555.3,1548207.7,1946522.3
tRNA-Thr-GGT	tRNA-Thr-TGT	1121447.3,727.1550,926569.3,1737569.3,1332188.3,572547.3,1919250.3,210.5028,673862.3,309798.4,525904.6,36868.4,1432327.4,521095.6,456827.3,1749045.3,203907.6,1306947.3,272844.11,926550.5,679936.5,266117.10
DNA-directed RNA polymerase subunit F (EC 2.7.7.6)	LSU ribosomal protein L21e	415426.13,406327.12,64091.14,349307.15,436308.17,272844.11,374847.13,1577791.3,1435377.6,263820.9,339860.19
ABC transporter, ATP-binding protein (cluster 13, osmolytes)	ABC transporter, substrate-binding protein (cluster 13, osmolytes)	2183990.3,1491.958,716544.4,210.5028,479430.3,394503.7,1437881.3,1647103.3,1391995.3,190304.8,166793.3,1560006.3,1946798.3,754252.34,266117.10
Cobalt-precorrin 5A hydrolase (EC 3.7.1.12)	Cobalt-precorrin-5B (C1)-methyltransferase (EC 2.1.1.195)	1639.4260,1737569.3,436308.17,2597224.3,479430.3,263820.9,394503.7,349307.15,1577791.3,1435377.6,1121911.3,679936.5,266117.10
Peptidyl-tRNA hydrolase (EC 3.1.1.29)	SSU ribosomal protein S6p	2605989.3,813.178,583355.3,1882918.15,456827.3,716544.4,1560006.3,2200854.3,1970770.3,481448.7
LSU ribosomal protein L22p (L17e)	SSU ribosomal protein S14p (S29e), zinc-dependent	1121447.3,1882918.15,1737569.3,572547.3,1970770.3,157176.8,309798.4,525904.6,159.151,1432327.4,2099.43,521095.6,795359.3,525909.11,1306947.3,137778.5,754252.34,1121911.3,266117.10,1639.4260,608534.3,1262806.3,28227.8,926569.3,2069310.3,41978.26,445932.6,1002870.3,1260.19,479434.6,479430.3,1123388.3,394503.7,1884905.18,2003555.3,1560006.3,1946798.3,1491.958,2023178.18,1946283.3,2597224.3,673862.3,1408281.4,655811.4,796939.3,1946251.3,481448.7,2702.133,1318617.4,1947072.3,1423720.4,1408467.3,1919250.3,1945871.3,938289.3,126741.4,166793.3,456827.3,59620.1701,926550.5,243273.25,2100.35,295596.4
Peptidyl-tRNA hydrolase (EC 3.1.1.29)	tRNA-Gln	813.178,489703.3,1884905.18,1560006.3,2023178.18,2069310.3,2030824.4,754252.34,1408281.4,518.42,159.151
Cell division protein FtsA	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8)	1121447.3,2490941.3,557993.3,583355.3,1882918.15,1737569.3,572547.3,1970770.3,1408281.4,157176.8,525904.6,36868.4,1704307.4,1647103.3,1947784.3,489703.3,1805053.3,190304.8,379066.3,1749045.3,203907.6,795359.3,428411.4,481448.7,266117.10,727.1550,926569.3,1079.16,1919250.3,479434.6,1123388.3,518.42,1945871.3,454171.5,1437881.3,456827.3,926550.5,1972134.3,376620.10,1715285.3
Cell division protein FtsZ	Ribonucleotide reductase transcriptional regulator NrdR	1491.958,926569.3,1332188.3,1260.19,479434.6,655811.4,394503.7,1432327.4,938289.3,796939.3,1946798.3,926550.5,1121911.3
tRNA-Phe	tRNA-Ser	1639.4260,2605989.3,813.178,2099.43,1262806.3,1423720.4,28227.8,1260.19,1318617.4,1945871.3,2100.35,295596.4
LSU ribosomal protein L25p	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	1121447.3,2490941.3,716544.4,2023178.18,349741.6,572547.3,2597224.3,2030824.4,1408281.4,157176.8,309798.4,159.151,2067454.3,1704307.4,1947784.3,489703.3,1946934.3,379066.3,59196.3,1749045.3,795359.3,2024841.10,1206109.5,525909.11,754252.34,266117.10,2069310.3,445932.6,1919250.3,479430.3,1123388.3,518.42,1437881.3,126741.4,1391995.3,166793.3,1884905.18,456827.3,2003555.3,1560006.3,1946522.3
Cysteine desulfurase (EC 2.8.1.7) => SufS	Putative iron-sulfur cluster assembly scaffold protein for SUF system, SufE2	583355.3,2183990.3,2200854.3,1946283.3,436308.17,673862.3,525904.6,655811.4,1408417.3,1704307.4,2099.43,521095.6,379066.3,59196.3,796939.3,525909.11,1306947.3,481448.7,2702.133,754252.34,266117.10,1639.4260,608534.3,64091.14,28227.8,926569.3,2069310.3,1002870.3,1260.19,1919250.3,479434.6,479430.3,1123388.3,454171.5,938289.3,126741.4,1391995.3,166793.3,1884905.18,2003555.3,59620.1701,1548207.7,1946522.3,926550.5,37692.4,243273.25,2100.35,679936.5
